author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Сабина Гахраманова,realtor,https://www.cian.ru/sale/flat/300033747/,Москва,sale,flat,10,15,1,38.1,-1,0,8700000.0,Крюково,Зеленоград,к2018,Зеленоград — Крюково,
Анастасия Светлая,realtor,https://www.cian.ru/sale/flat/293936548/,Москва,sale,flat,6,12,1,36.0,-1,0,8650000.0,Десеновское поселение, 3-я Нововатутинская,7,,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300697014/,Москва,sale,flat,4,14,1,42.4,-1,0,8750000.0,Южное Бутово, Маршала Савицкого,18к2,Щербинка,
АРТ,real_estate_agent,https://www.cian.ru/sale/flat/300233149/,Москва,sale,flat,2,12,1,39.0,-1,0,8750000.0,, Харлампиева,52к1,Филатов Луг,Спортивный квартал
Галина Карданова,realtor,https://www.cian.ru/sale/flat/301242038/,Москва,sale,flat,6,26,1,35.6,-1,0,8750000.0,Ярославский,Лосиноостровская ,вл45к2,Свиблово,Сказочный лес
Николай Горшилов,realtor,https://www.cian.ru/sale/flat/301507963/,Москва,sale,flat,12,16,1,36.0,-1,0,8800000.0,Южное Бутово, Адмирала Лазарева,50К1,Бунинская аллея,
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/297122767/,Москва,sale,flat,7,13,1,40.1,-1,0,8800000.0,, 1-я Ватутинская,14к2,Коммунарка,Russian Design District
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297903671/,Москва,sale,flat,16,17,1,31.1,-1,0,8850000.0,Некрасовка, Вертолетчиков,4к8,Некрасовка,Некрасовка
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/299288016/,Москва,sale,flat,8,9,1,35.0,-1,0,8800000.0,Люблино,Новороссийская ,10,Люблино,
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300027864/,Москва,sale,flat,5,17,1,35.0,-1,0,8800000.0,Савёлки,Зеленоград,к623,Зеленоград — Крюково,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/295718519/,Москва,sale,flat,19,19,1,37.2,-1,0,8800000.0,,,к1.1,Бунинская аллея,Бунинские Кварталы ЖК
Perspective-Realty,real_estate_agent,https://www.cian.ru/sale/flat/301724709/,Москва,sale,flat,12,19,1,34.0,-1,0,8800000.0,, Омская,20,Аэропорт Внуково,Внуково 2016
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/300425095/,Москва,sale,flat,9,14,1,35.4,-1,0,8800000.0,, 3-я Нововатутинская,15к1,Коммунарка,"Новые Ватутинки, мкр. Центральный"
