author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
3SGroup,developer,https://www.cian.ru/sale/flat/299379642/,Москва,sale,flat,17,17,2,52.5,-1,0,13917750.0,,,,Корниловская,FOREVILLE
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301729267/,Москва,sale,flat,5,9,2,45.2,-1,0,13800000.0,Чертаново Северное,Сумской проезд,23К2,Южная,
Макспол Парк Культуры,real_estate_agent,https://www.cian.ru/sale/flat/299154733/,Москва,sale,flat,11,21,2,44.9,-1,0,13900000.0,Сокольники, Сокольнический Вал,3,Рижская,Резиденция Сокольники
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300841537/,Москва,sale,flat,17,17,2,44.0,-1,0,13900000.0,Печатники, Гурьянова,2К2,Печатники,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300663312/,Москва,sale,flat,3,9,2,35.0,-1,0,13990000.0,Свиблово, Амундсена,8,Свиблово,
Самолет плюс,real_estate_agent,https://www.cian.ru/sale/flat/300345149/,Москва,sale,flat,5,9,2,55.5,-1,0,14000000.0,, Бориса Пастернака,4,Мичуринец,Переделкино Ближнее Город-парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301427208/,Москва,sale,flat,2,5,2,44.0,-1,0,14000000.0,Кузьминки, Юных Ленинцев,109К2,Кузьминки,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301406228/,Москва,sale,flat,9,9,2,44.7,-1,0,13990000.0,Вешняки, Красный Казанец,1К2,Вешняки,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301380731/,Москва,sale,flat,4,9,2,45.0,-1,0,13990000.0,Вешняки, Красный Казанец,1К2,Вешняки,
ID 13115976,homeowner,https://www.cian.ru/sale/flat/301461492/,Москва,sale,flat,1,17,2,81.0,-1,0,13990000.0,,,19,Рассказовка,
Алия Хайрова,realtor,https://www.cian.ru/sale/flat/301459327/,Москва,sale,flat,2,9,2,37.1,-1,0,14000000.0,Нагатино-Садовники,Варшавское шоссе,57,Нагатинская,
Новое Летово,developer,https://www.cian.ru/sale/flat/296320472/,Москва,sale,flat,2,7,2,58.8,-1,0,14147280.0,,,к1,Филатов Луг,Новое Летово ЖК
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300735787/,Москва,sale,flat,8,15,2,37.4,-1,0,14125980.0,Головинский,Северный ао,,Коптево,Михалковский ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301039761/,Москва,sale,flat,5,12,2,53.3,-1,0,14200000.0,Лианозово,Илимская ,10,Алтуфьево,
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/298907222/,Москва,sale,flat,1,12,2,54.8,-1,0,14200000.0,Новогиреево,Новогиреевская ,50/9,Перово,
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300840758/,Москва,sale,flat,2,9,2,36.0,-1,0,14100000.0,Алексеевский,Маломосковская ,27,Алексеевская,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/301275908/,Москва,sale,flat,17,22,2,58.3,-1,0,14331884.0,,,к3,Рассказовка,Город-парк Первый Московский
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301740105/,Москва,sale,flat,9,9,2,35.0,-1,0,14300000.0,Покровское-Стрешнево,Волоколамское шоссе,49,Щукинская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300708550/,Москва,sale,flat,1,14,2,62.0,-1,0,14300000.0,Крюково,Зеленоград,к1436,,
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/296566467/,Москва,sale,flat,17,17,2,56.5,-1,0,14376232.0,,,,Мичуринец,Переделкино Ближнее Город-парк
