author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,133260000.0,Якиманка,,,Полянка,Лаврушинский ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000.0,Мещанский, Гиляровского,50,Проспект Мира,
MR Group,developer,https://www.cian.ru/sale/flat/301575583/,Москва,sale,flat,4,13,1,68.62,-1,0,86856437.0,Мещанский,м. Цветной бульвар,,Цветной бульвар,Клубный дом Forum
Voller.one,real_estate_agent,https://www.cian.ru/sale/flat/297643594/,Москва,sale,flat,11,21,1,43.6,-1,0,18000000.0,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,-1,0,78259545.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298474072/,Москва,sale,flat,23,23,1,54.0,-1,0,29000000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,-1,0,24335267.0,Даниловский,Дубининская ,59к7,Павелецкая,Павелецкая Сити
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478863/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Absolute Premium,developer,https://www.cian.ru/sale/flat/299898685/,Москва,sale,flat,5,18,1,49.8,-1,0,49737000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000.0,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
MR Group,developer,https://www.cian.ru/sale/flat/300288766/,Москва,sale,flat,40,54,1,29.14,-1,0,17858691.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298210838/,Москва,sale,flat,13,44,1,60.9,-1,0,25500000.0,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
Tekta Group,developer,https://www.cian.ru/sale/flat/301260582/,Москва,sale,flat,14,27,1,28.1,-1,0,19203540.0,Даниловский,,,Серпуховская,Era
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000.0,, Медовая Долина,2,Санино,Баркли Медовая долина
Sminex,developer,https://www.cian.ru/sale/flat/297972137/,Москва,sale,flat,2,5,1,54.7,-1,0,126110000.0,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934983/,Москва,sale,flat,3,13,1,56.33,-1,0,24914759.0,,,В21 кв-л,Опалиха,Сберсити ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298087113/,Москва,sale,flat,4,46,1,39.7,-1,0,19000000.0,Обручевский, Академика Волгина,2С2,Калужская,Архитектор
Главстрой,developer,https://www.cian.ru/sale/flat/298342641/,Москва,sale,flat,2,20,1,42.3,-1,0,21645206.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ID 413522,realtor,https://www.cian.ru/sale/flat/301734970/,Москва,sale,flat,6,12,1,59.2,-1,0,68000000.0,Раменки,Мосфильмовская ,1сА,Ломоносовский проспект,Вишневый сад
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299137613/,Москва,sale,flat,4,12,1,45.87,-1,0,22499235.0,,,В19 кв-л,Павшино,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,-1,0,44000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Hutton Development,developer,https://www.cian.ru/sale/flat/293911220/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,94392000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,-1,0,99000000.0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
ЭЛИТА-ЭКО,developer,https://www.cian.ru/sale/flat/292406316/,Москва,sale,flat,2,14,1,30.45,-1,0,29201550.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000.0,Перово,2-я Владимирская ,3,Перово,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298849163/,Москва,sale,flat,3,10,1,45.5,-1,0,23132200.0,,,В14 кв-л,Павшино,Сберсити ЖК
RND,real_estate_agent,https://www.cian.ru/sale/flat/300549135/,Москва,sale,flat,8,11,1,46.4,-1,0,46000000.0,Дорогомилово,Кутузовский проспект,12,Киевская,Кутузовский XII
Sminex,developer,https://www.cian.ru/sale/flat/300266286/,Москва,sale,flat,3,14,1,51.4,-1,0,50980000.0,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/301837625/,Москва,sale,flat,7,12,1,35.0,-1,0,11000000.0,Лучшая просторная 1 к.кв. в е!1-комн. квартира,35 м²,,,
COLDY,developer,https://www.cian.ru/sale/flat/297997304/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,183834633.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,-1,0,96000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
EraOneHolding,developer,https://www.cian.ru/sale/flat/274788987/,Москва,sale,flat,8,8,1,111.7,-1,0,88184211.0,Арбат, Арбат,24,Смоленская,Turandot Residences
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/299893948/,Москва,sale,flat,5,16,1,38.9,-1,0,11300000.0,Отрадное,Алтуфьевское шоссе,2,Владыкино,
MR Group,developer,https://www.cian.ru/sale/flat/300583268/,Москва,sale,flat,2,54,1,36.06,-1,0,20713585.0,Хорошево-Мневники, Мневники,,Полежаевская,JOIS
ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000.0,Нагорный,Ялтинская ,8,Севастопольская,
Prime Life Development,developer,https://www.cian.ru/sale/flat/299132337/,Москва,sale,flat,18,25,1,40.2,-1,0,23432905.0,Нагатино-Садовники,,,Нагатинская,Первый Нагатинский
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,-1,0,9750000.0,Гольяново,Уральская ,1,Щёлковская,
Regions Development,developer,https://www.cian.ru/sale/flat/301581497/,Москва,sale,flat,5,23,1,58.2,-1,0,25537891.0,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300329807/,Москва,sale,flat,3,18,1,48.0,-1,0,31990000.0,Раменки, Янковского,1к2,Аминьевская,Событие
Sminex,developer,https://www.cian.ru/sale/flat/294328835/,Москва,sale,flat,3,6,1,78.7,-1,0,160420000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Чистые Пруды
Юлия Иванова,realtor,https://www.cian.ru/sale/flat/301083049/,Москва,sale,flat,45,52,1,43.1,-1,0,25450000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/291868741/,Москва,sale,flat,3,13,1,54.02,-1,0,29997306.0,,,В20 кв-л,Павшино,Сберсити ЖК
ID 113174200,homeowner,https://www.cian.ru/sale/flat/301362066/,Москва,sale,flat,8,9,1,33.0,-1,0,10540000.0,Черемушки, Цюрупы,15К3,Новые Черёмушки,
MR Group,developer,https://www.cian.ru/sale/flat/296523631/,Москва,sale,flat,3,36,1,40.8,-1,0,28058677.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
ID 115757863,homeowner,https://www.cian.ru/sale/flat/301203125/,Москва,sale,flat,9,30,1,38.0,-1,0,14000000.0,Южнопортовый,Волгоградский проспект,32/5к1,Волгоградский проспект,
Sminex,developer,https://www.cian.ru/sale/flat/301346263/,Москва,sale,flat,8,14,1,44.6,-1,0,25870000.0,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
Estes,real_estate_agent,https://www.cian.ru/sale/flat/300647536/,Москва,sale,flat,4,12,1,38.7,-1,0,12550000.0,Нагатино-Садовники,Коломенский проезд,14К1,Каширская,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301266106/,Москва,sale,flat,8,23,1,47.4,-1,0,20761200.0,Басманный, Фридриха Энгельса,56,Бауманская,Дом 56
ID 17235793,homeowner,https://www.cian.ru/sale/flat/297331054/,Москва,sale,flat,16,32,1,37.0,-1,0,15600000.0,Марьино,Донецкая ,30к1,Курьяново,Домашний
Стадион Спартак,developer,https://www.cian.ru/sale/flat/282960185/,Москва,sale,flat,2,19,1,42.7,-1,0,22191190.0,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298159475/,Москва,sale,flat,3,32,1,35.0,-1,0,19000000.0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
Regions Development,developer,https://www.cian.ru/sale/flat/301623904/,Москва,sale,flat,2,16,1,40.9,-1,0,17295455.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300136415/,Москва,sale,flat,12,14,1,54.5,-1,0,35700000.0,Пресненский, Малая Грузинская,28,Краснопресненская,
Sminex,developer,https://www.cian.ru/sale/flat/301346487/,Москва,sale,flat,2,21,1,37.76,-1,0,20490000.0,Марфино, Академика Королева,21,Телецентр,Дом Достижение
Елена Юрьевна  Баданина,realtor,https://www.cian.ru/sale/flat/300443381/,Москва,sale,flat,4,9,1,31.6,-1,0,12250000.0,Тимирязевский,Дмитровское шоссе,21К2,Тимирязевская,
MR Group,developer,https://www.cian.ru/sale/flat/282209329/,Москва,sale,flat,2,57,1,42.52,-1,0,24463584.0,Филевский парк,,,Фили,Фили Сити ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295758505/,Москва,sale,flat,6,9,1,32.8,-1,0,8900000.0,Печатники,Шоссейная ,3,Печатники,
СИТИ21,developer,https://www.cian.ru/sale/flat/301268679/,Москва,sale,flat,4,15,1,32.6,-1,0,18288906.0,Останкинский,проспект Мира,95,Алексеевская,Hill8
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000.0,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
Пионер,developer,https://www.cian.ru/sale/flat/301513625/,Москва,sale,flat,6,22,1,30.7,-1,0,16065003.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297263854/,Москва,sale,flat,2,14,1,38.3,-1,0,9300000.0,Южное Бутово,Изюмская ,49к4,Бутово,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/300112863/,Москва,sale,flat,4,6,1,51.2,-1,0,55500800.0,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299740960/,Москва,sale,flat,15,17,1,34.6,-1,0,9000000.0,Ясенево, Инессы Арманд,7,Новоясеневская,
Sense Development,developer,https://www.cian.ru/sale/flat/298147706/,Москва,sale,flat,12,13,1,39.8,-1,0,25145601.0,Даниловский,Подольское шоссе,3,Тульская,Logos
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299776431/,Москва,sale,flat,12,12,1,38.7,-1,0,9200000.0,Орехово-Борисово Южное,Домодедовская ,38К2,Домодедовская,
LEGENDA Intelligent Development,developer,https://www.cian.ru/sale/flat/301551699/,Москва,sale,flat,8,57,1,44.4,-1,0,18616920.0,Левобережный,Ленинградское шоссе,,Беломорская,Северный порт. Береговые кварталы
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299469625/,Москва,sale,flat,8,17,1,38.0,-1,0,10000000.0,Северное Бутово, Грина,9,Бульвар Дмитрия Донского,
Мангазея,developer,https://www.cian.ru/sale/flat/301581644/,Москва,sale,flat,-1,-1,-1,1.0,-1,0,25544778.0,Щукино,Щукинская ,3,Щукинская,Интонация
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298527999/,Москва,sale,flat,3,9,1,38.7,-1,0,10500000.0,Перово, Плеханова,26К4,Перово,
Балтийская Строительная Компания,developer,https://www.cian.ru/sale/flat/297286565/,Москва,sale,flat,12,13,1,48.6,-1,0,32610600.0,Арбат, Новый Арбат,,Смоленская,Звёзды Арбата
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,-1,0,14999000.0,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
Главстрой,developer,https://www.cian.ru/sale/flat/301772066/,Москва,sale,flat,3,35,1,39.08,-1,0,20505276.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299722483/,Москва,sale,flat,6,13,1,26.8,-1,0,10300000.0,Таганский,Волгоградский проспект,1С1,Пролетарская,
5 ДОНСКОЙ,developer,https://www.cian.ru/sale/flat/299380453/,Москва,sale,flat,24,75,1,41.62,-1,0,21941564.0,Донской,5-й Донской проезд,вл21к6,Площадь Гагарина,The Five
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301181308/,Москва,sale,flat,2,2,1,31.4,-1,0,9800000.0,Текстильщики,Грайвороновская ,4С2,Текстильщики,
MR Group,developer,https://www.cian.ru/sale/flat/300613174/,Москва,sale,flat,3,55,1,42.12,-1,0,21551919.0,Марьина роща, 4-я Марьиной рощи,12К1,Марьина Роща,Mod
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/295294075/,Москва,sale,flat,6,12,1,35.2,-1,0,10500000.0,Преображенское,2-я Пугачевская ,9К1,Преображенская площадь,
FORMA,developer,https://www.cian.ru/sale/flat/298377746/,Москва,sale,flat,24,26,1,42.45,-1,0,36260790.0,Пресненский,к2.2,к2.2,Белорусская,Репаблик ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297902239/,Москва,sale,flat,13,16,1,37.5,-1,0,10300000.0,Бибирево,Белозерская ,17,Бибирево,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299589652/,Москва,sale,flat,2,24,1,43.5,-1,0,17768630.0,Очаково-Матвеевское,Мичуринский проспект,72А,Озёрная,ОМ
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301129606/,Москва,sale,flat,1,5,1,17.9,-1,0,9600000.0,Соколиная гора,проспект Буденного,24К3,Сортировочная,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/301576108/,Москва,sale,flat,25,27,1,24.1,-1,0,11206500.0,Щукино, Берзарина,,Щукинская,Октябрьское поле
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299635004/,Москва,sale,flat,16,17,1,37.8,-1,0,8700000.0,, Солнечная,15,Рассказовка,Град Московский
Capital Group,developer,https://www.cian.ru/sale/flat/301483020/,Москва,sale,flat,11,18,1,52.4,-1,0,55200190.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297727983/,Москва,sale,flat,25,25,1,46.3,-1,0,15500000.0,Левобережный,Валдайский проезд,10к1,Беломорская,
Группа Родина,developer,https://www.cian.ru/sale/flat/291114453/,Москва,sale,flat,3,23,1,30.6,-1,0,17427800.0,Ростокино,,к2,Ботанический сад,Союз ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298065569/,Москва,sale,flat,8,12,1,34.9,-1,0,9000000.0,Дмитровский,Клязьминская ,4,Грачёвская,
Основа,developer,https://www.cian.ru/sale/flat/293623772/,Москва,sale,flat,-1,-1,-1,43.5,-1,0,17182500.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/298520114/,Москва,sale,flat,9,12,1,39.0,-1,0,9380000.0,Марьино,Донецкая ,19,Курьяново,
Пионер,developer,https://www.cian.ru/sale/flat/301460119/,Москва,sale,flat,6,26,1,24.5,-1,0,19028856.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300889564/,Москва,sale,flat,12,16,1,40.6,-1,0,18900000.0,Можайский, Вересаева,10,Давыдково,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/280126887/,Москва,sale,flat,8,25,1,23.9,-1,0,13133050.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294451528/,Москва,sale,flat,9,17,1,38.0,-1,0,10500000.0,Южное Бутово,Веневская ,9,Улица Скобелевская,
Prime Life Development,developer,https://www.cian.ru/sale/flat/301781616/,Москва,sale,flat,10,25,1,39.84,-1,0,22702148.0,Нагатино-Садовники,,,Нагатинская,Первый Нагатинский
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/300967755/,Москва,sale,flat,2,2,1,28.7,-1,0,9500000.0,Текстильщики,Грайвороновская ,4С2,Текстильщики,
Пионер,developer,https://www.cian.ru/sale/flat/301514846/,Москва,sale,flat,2,9,1,37.89,-1,0,15711300.0,Москворечье-Сабурово,,,Варшавская,Лайф Варшавская ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294038293/,Москва,sale,flat,11,24,1,43.5,-1,0,14100000.0,Нижегородский, Нижняя Хохловка,8,Нижегородская,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/301301804/,Москва,sale,flat,2,26,1,24.0,-1,0,9480000.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300071808/,Москва,sale,flat,4,5,1,51.4,-1,0,11800000.0,Рязанский, Михайлова,22К1,Плющево,
КОРТРОС,developer,https://www.cian.ru/sale/flat/300396949/,Москва,sale,flat,37,49,1,36.91,-1,0,17495340.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300725362/,Москва,sale,flat,8,9,1,35.0,-1,0,10490000.0,Северное Тушино, Вилиса Лациса,11К3,Планерная,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/300923065/,Москва,sale,flat,2,15,1,28.3,-1,0,10541750.0,Головинский,Северный ао,,Коптево,Михалковский ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/299942586/,Москва,sale,flat,18,21,1,42.0,-1,0,15450000.0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная,Мичуринский парк
MR Group,developer,https://www.cian.ru/sale/flat/300481003/,Москва,sale,flat,4,39,1,39.6,-1,0,15509395.0,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/294258749/,Москва,sale,flat,12,17,1,37.9,-1,0,12000000.0,Братеево,Братеевская ,21,Борисово,
Forma,developer,https://www.cian.ru/sale/flat/299487421/,Москва,sale,flat,2,29,1,38.4,-1,0,16698624.0,Аэропорт,Часовая ,28к8,Красный Балтиец,SOUL
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301508047/,Москва,sale,flat,15,17,1,38.0,-1,0,11800000.0,Вешняки,аллея Жемчуговой,5К3,Новогиреево,
Level Group,developer,https://www.cian.ru/sale/flat/301557176/,Москва,sale,flat,4,32,1,34.9,-1,0,,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301561988/,Москва,sale,flat,8,12,1,81.0,-1,0,98000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
КРОСТ,developer,https://www.cian.ru/sale/flat/300762881/,Москва,sale,flat,24,28,1,34.1,-1,0,17800200.0,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301165914/,Москва,sale,flat,7,24,1,49.0,-1,0,23000000.0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
TOUCH,developer,https://www.cian.ru/sale/flat/301805829/,Москва,sale,flat,2,13,1,40.02,-1,0,22691340.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301650868/,Москва,sale,flat,13,15,1,35.4,-1,0,17599000.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
ID 111759195,developer,https://www.cian.ru/sale/flat/296871849/,Москва,sale,flat,3,14,1,30.3,-1,0,10899637.0,Рязанский,Рязанский проспект,,Окская,balance
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/301601248/,Москва,sale,flat,16,39,1,47.6,-1,0,25000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Level Group,developer,https://www.cian.ru/sale/flat/301706812/,Москва,sale,flat,9,64,1,32.6,-1,0,13437867.0,Хорошево-Мневники,,,Хорошёвская,Левел Звенигородская ЖК
BERI,real_estate_agent,https://www.cian.ru/sale/flat/297062106/,Москва,sale,flat,2,9,1,34.1,-1,0,20990000.0,Красносельский,переулок Даев,12/16,Сухаревская,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370745/,Москва,sale,flat,2,6,1,39.0,-1,0,19500000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/298620907/,Москва,sale,flat,11,16,1,44.9,-1,0,16990000.0,Басманный,Рубцовская набережная,2К3,Электрозаводская,
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/297843823/,Москва,sale,flat,13,14,1,37.8,-1,0,10001880.0,,,к9/1.1,Кедровая,"Новые Ватутинки, мкр. Центральный"
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301504109/,Москва,sale,flat,9,9,1,41.0,-1,0,12900000.0,, Инженера Кнорре,7к3,Румянцево,
MR Group,developer,https://www.cian.ru/sale/flat/298871390/,Москва,sale,flat,2,48,1,33.9,-1,0,13509421.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300099173/,Москва,sale,flat,3,15,1,37.5,-1,0,30000000.0,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
3SGroup,developer,https://www.cian.ru/sale/flat/299381166/,Москва,sale,flat,8,17,1,25.7,-1,0,7766495.0,,,,Корниловская,FOREVILLE
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299499349/,Москва,sale,flat,5,21,1,48.4,-1,0,22800000.0,Щукино,Щукинская ,3,Щукинская,Интонация
Hutton Development,developer,https://www.cian.ru/sale/flat/300937282/,Москва,sale,flat,7,8,1,48.3,-1,0,35114100.0,Гагаринский,м. Ленинский проспект,,Ленинский проспект,Лунар ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/301775124/,Москва,sale,flat,8,41,1,41.0,-1,0,34000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Forma,developer,https://www.cian.ru/sale/flat/301354608/,Москва,sale,flat,8,25,1,40.7,-1,0,21640190.0,Печатники,Южнопортовая ,,,Portland
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301644825/,Москва,sale,flat,11,15,1,36.7,-1,0,17499000.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
Центр-Инвест,representative_developer,https://www.cian.ru/sale/flat/298334392/,Москва,sale,flat,6,15,1,40.5,-1,0,23981169.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/300488507/,Москва,sale,flat,6,9,1,36.0,-1,0,12500000.0,Отрадное, Бестужевых,3Б,Отрадное,
Level Group,developer,https://www.cian.ru/sale/flat/301565203/,Москва,sale,flat,8,13,1,28.7,-1,0,,Печатники,,,Кожуховская,Левел Южнопортовая ЖК
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/299925097/,Москва,sale,flat,8,16,1,56.1,-1,0,28000000.0,Таганский,переулок Большой Симоновский,2,Пролетарская,На Симоновском
MR Group,developer,https://www.cian.ru/sale/flat/300575203/,Москва,sale,flat,7,29,1,37.5,-1,0,13072251.0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект,Метрополия
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301782648/,Москва,sale,flat,10,21,1,65.0,-1,0,67000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Forma,developer,https://www.cian.ru/sale/flat/297989333/,Москва,sale,flat,20,20,1,39.09,-1,0,19612821.0,Даниловский,Автозаводская ,26,Тульская,FORST
ID 96167522,realtor,https://www.cian.ru/sale/flat/298016918/,Москва,sale,flat,3,9,1,30.3,-1,0,6825000.0,Люблино, Верхние Поля,27С2,Братиславская,
VOS HOD,developer,https://www.cian.ru/sale/flat/300560437/,Москва,sale,flat,8,17,1,69.3,-1,0,38918880.0,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/297368415/,Москва,sale,flat,30,32,1,43.8,-1,0,16950000.0,Бутырский, Руставели,14,Бутырская,Руставели 14
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/298496731/,Москва,sale,flat,14,19,1,29.0,-1,0,19459000.0,Щукино, Ротмистрова,2,Октябрьское поле,Театральный квартал
ID 96167522,realtor,https://www.cian.ru/sale/flat/294926126/,Москва,sale,flat,4,9,1,26.8,-1,0,6182125.0,Люблино, Верхние Поля,27С2,Братиславская,
Основа,developer,https://www.cian.ru/sale/flat/299250693/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,12341000.0,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
ID 96167522,realtor,https://www.cian.ru/sale/flat/296746930/,Москва,sale,flat,1,9,1,34.9,-1,0,6854250.0,Люблино, Верхние Поля,27С2,Братиславская,
Группа Родина,developer,https://www.cian.ru/sale/flat/293200764/,Москва,sale,flat,6,13,1,33.9,-1,0,11048000.0,, 1-я Ватутинская,14к1,Ольховая,Russian Design District
